#nr_of_threads	time	error
#anbul-dated-5-15-u
1		0.0
2		-0.5084354055927776
3		-1.0739678353430548
4		-1.629984094400399
#anbul-part-10-15-s
1		0.0
2		-0.6346378110000614
3		-0.7902942457169502
4		-0.9234280451854175
#fuhs-aprove-16
1		0.0
2		-0.034630731009556825
3		-0.459233606865908
4		-0.6896032522773368
#goldb-heqc-alu4mul
1		0.0
2		-0.0555370432078206
3		-0.406037493674944
4		-0.8034358917397952
#goldb-heqc-i8mul
1		0.0
2		-0.7338005400998355
3		-0.5933557353793759
4		-0.6188054650938142
#grieu-vmpc-s05-27r
1		0.0
2		-0.10312523745943736
3		-0.6893107977551125
4		-0.694738441831916
#ibm-2002-20r-k75
1		0.0
2		-0.21675629367381077
3		-0.7503896452421941
4		-1.190095269551918
#ibm-2002-24r3-k100
1		0.0
2		-0.23357820412239505
3		-0.7533342842878596
4		-0.8950859425147968
#ibm-2002-31_1r3-k30
1		0.0
2		-0.40683325620855726
3		-0.5784359093012625
4		-0.8290914699984597
#ibm-2004-23-k80
1		0.0
2		0.17599285264499542
3		-0.22012561691684596
4		-0.7066624327917168
#manol-pipe-c7idw
1		0.0
2		-0.6790817814439833
3		-1.3831604382785514
4		-2.128900554097399
#manol-pipe-c7idw
1		0.0
2		-0.6704143243806016
3		-1.1909223402040396
4		-2.0778679991671822
#manol-pipe-g10bid_i
1		0.0
2		-0.17345172562693278
3		-0.5595451065203889
4		-0.8266172196196351
#mizh-md5-47-4
1		0.0
2		-0.6748574600131292
3		-0.9498461072708011
4		-1.245017407538242
#mizh-sha0-36-4
1		0.0
2		-0.5067200934969662
3		-0.38650972535269545
4		-1.1929209449870655
#narai-vpn-10s
1		0.0
2		-6.807948316366492
3		-11.037738690440335
4		-16.013719053069096
#post-c32s-gcdm16-22
1		0.0
2		-0.6332535330913629
3		-0.8324967178932781
4		-1.1800139006873138
#schup-l2s-motst-2-k315
1		0.0
2		-1.0448378801761748
3		-2.308397127065291
4		-3.4552064552360235
#simon-s02b-r4b1k1.2
1		0.0
2		0.05231778695761591
3		-0.32734948645006057
4		-0.4748565802333218
#simon-s02-f2clk-50
1		0.0
2		-0.5272144159110184
3		-0.3807018758219698
4		-0.8548487575275061
