#nr_of_threads	time	error
#anbul-dated-5-15-u
1		0.0
2		-0.44877704864690315
3		-1.0778784098920795
4		-2.1503335321872044
#anbul-part-10-15-s
1		0.0
2		-2.155362218278384
3		-6.895757996290413
4		-12.041639423012768
#fuhs-aprove-16
1		0.0
2		0.03755276163009569
3		-0.4025656046745496
4		-1.1145659651810718
#goldb-heqc-alu4mul
1		0.0
2		-0.15279591887029653
3		-0.4633166572196217
4		-0.5027478620893646
#goldb-heqc-i8mul
1		0.0
2		-0.44566173944554066
3		-1.2960426931710742
4		-2.3869021567769266
#grieu-vmpc-s05-27r
1		0.0
2		-0.10962294049970467
3		-0.3972474873553722
4		-0.9290815551262313
#ibm-2002-20r-k75
1		0.0
2		-2.167243427508893
3		-5.609214400082635
4		-8.76297711895046
#ibm-2002-24r3-k100
1		0.0
2		-1.5575548522456444
3		-4.446854663774388
4		-7.018776003698292
#ibm-2002-31_1r3-k30
1		0.0
2		-0.19249648693910615
3		-0.6564130204623808
4		-1.1222545188550441
#ibm-2004-23-k80
1		0.0
2		-2.6924592783755656
3		-6.813482272528489
4		-10.39892884716096
#manol-pipe-c7idw
1		0.0
2		-1.9422725004158963
3		-4.416902345699555
4		-6.912327399767079
#manol-pipe-c7idw
1		0.0
2		-1.7702056929150132
3		-4.325784334095161
4		-6.665281529191773
#manol-pipe-g10bid_i
1		0.0
2		-1.7487494702680237
3		-4.768493532741985
4		-8.05880840182121
#mizh-md5-47-4
1		0.0
2		-0.6589142403587971
3		-1.8205183122724407
4		-3.5238683179418757
#mizh-sha0-36-4
1		0.0
2		-0.3021726462998373
3		-0.994755681345211
4		-1.882127694997095
#narai-vpn-10s
1		0.0
2		-9.82923973027377
3		-20.834130622804253
4		-28.628942755891643
#post-c32s-gcdm16-22
1		0.0
2		-1.0423884090104139
3		-2.2479868200224757
4		-3.224167398032236
#schup-l2s-motst-2-k315
1		0.0
2		-5.455331583969453
3		-10.80033396946564
4		-17.019024332061065
#simon-s02b-r4b1k1.2
1		0.0
2		-0.03976646241166293
3		-0.3929649512860891
4		-1.4290620537570078
#simon-s02-f2clk-50
1		0.0
2		-0.425428887659109
3		-1.029560966611328
4		-1.8907950562626894
