#nr_of_threads	LLC-miss%	Error
#manol-pipe-c10b
1		3.51		4.97
2		13.5		2.86
3		20.97		3.57
4		27.46		2.87
5		31.19		1.7
6		38.63		0.85
#manol-pipe-c6bid_i
1		12.5		0.2
2		23.99		2.59
3		32.62		2.02
4		38.62		1.24
5		43.27		2.73
6		49.03		0.48
#manol-pipe-c6nidw_i
1		14.0		0.59
2		26.21		2.33
3		35.42		1.36
4		41.23		2.45
5		44.13		0.63
6		50.34		0.51
#manol-pipe-c7idw
1		14.79		0.41
2		24.57		3.7
3		30.8		3.28
4		35.76		2.47
5		34.35		1.64
6		41.98		1.98
#manol-pipe-cha05-113
1		2.39		4.24
2		10.57		1.4
3		17.36		1.75
4		23.71		0.99
5		27.09		1.23
6		34.56		0.46
#anbul-dated-5-15-u
1		8.94		0.62
2		27.7		0.13
3		41.11		0.26
4		50.22		0.1
5		55.78		0.23
6		60.97		0.09
#ibm-2002-31_1r3-k30
1		13.01		0.3
2		28.25		0.17
3		39.05		0.08
4		47.06		0.05
5		52.42		0.28
6		56.34		0.25
#post-c32s-gcdm16-22
1		13.84		0.13
2		25.4		2.74
3		34.38		0.82
4		41.17		0.28
5		44.04		0.98
6		47.65		0.94
