#nr_of_threads	LLC-miss%	error
#manol-pipe-c10b.cnf
1		2.62		2.35
2		15.73		0.64
3		27.25		0.13
4		36.39		0.17
5		43.25		0.07
6		48.76		0.04
#manol-pipe-c6bid_i.cnf.gz
1		11.8		0.32
2		27.21		0.14
3		37.46		0.11
4		44.8		0.06
5		50.26		0.03
6		54.7		0.03
#manol-pipe-c6nidw_i.cnf
1		13.17		0.19
2		28.97		0.11
3		39.28		0.08
4		46.46		0.04
5		52.12		0.08
6		56.34		0.04
#manol-pipe-c7idw.cnf.gz
1		13.67		0.55
2		30.07		0.07
3		38.74		0.1
4		44.59		0.06
5		49.02		0.04
6		52.65		0.07
#manol-pipe-cha05-113.cnf.gz
1		1.84		2.31
2		13.18		1.11
3		23.23		0.62
4		31.76		0.29
5		38.65		0.11
6		44.38		0.04
#anbul-dated-5-15-u
1		8.6		0.58
2		28.45		0.17
3		42.89		0.08
4		52.29		0.07
5		58.9		0.03
6		63.16		0.02
#ibm-2002-31_1r3-k30
1		13.24		1.24
2		28.69		0.25
3		39.9		0.05
4		48.04		0.02
5		53.67		0.09
6		57.77		0.03

#post-c32s-gcdm16-22
1		13.85		0.67
2		27.45		0.19
3		37.1		0.05
4		43.86		0.08
5		49.05		0.07
6		53.02		0.04
